absalom_eventid,absalom_startdate,absalom_summary,absalom_chapter,absalom_y_narrated,absalom_y_hypothesized,absalom_y_narratedconsciousness,absalom_y_told,absalom_y_remembered,absalom_y_all,absalom_y_other,absalom_x_plot,absalom_x_story,absalom_textposition_plot,absalom_textposition_story,absalom_label,x_sutpen_plot,x_sutpen_story,y_sutpen,series_sutpen_plot,series_sutpen_story,sutpen_label,textposition_sutpen_plot,textposition_sutpen_story
15639,1860-07-01,"Ellen's behavior at the Coldfield house is <br> described negatively, since she no longer visits. <br> That leads Mr. Compson to talk about <br> the gathering doom that hangs over the <br> Sutpen family.  [SOURCE: Father]",3,,,,265,,265,,120,265,,,,,,,,,,,
15641,1859-09-01,"The fact that Rosa never sees Charles <br> Bon leads into a description of Charles <br> Bon as worldly, shadowy, and out of <br> place in the college he and Henry <br> attend.  [SOURCE: Father]",3,,,,188,,188,,121,188,,,,,,,,,,,
15643,1860-01-05,"Mr. Compson describes the way Ellen talks <br> about her daughter's engagement to Bon, and <br> what the marriage will mean to her <br> family.  [SOURCE: Father]",3,,,,218,,218,,122,218,,,,,,,,,,,
15644,1860-01-06,"Mr. Compson describes what ""Charles Bon"" meant <br> to Rosa when she thought about Judith's <br> engagement (59).  The account of Rosa reveals, for the <br> first time, why the aunt left the <br> family some years before.  [SOURCE: Father]",3,,,,221,,221,,123,221,,,,,,,,,,,
15645,1860-01-07,"To Mrs. Compson, Ellen's description of Bon <br> and Judith's relationship ""sounds like a fairy <br> tale"" (60).  [SOURCE: Father]",3,,,,223,,223,,124,223,,,,,,,,,,,
15647,1860-01-05,"Ellen laughs at Rosa's assertion that ""we"" <br> deserve Charles Bon - and laughs again <br> each time she retells the incident (60). <br>  [SOURCE: Father]",3,,,,217,,217,,125,217,,,,,,,,,,,
15648,1860-06-01,"Despite Ellen's laughter, Rosa begins trying to <br> make a trousseau for Judith.  [SOURCE: Father]",3,,,,235,,235,,126,235,,,,,,,,,,,
15649,1855-01-01,"Rosa's father had an arrangement with the <br> other stores on the Square to pay <br> for Rosa's purchases himself, so she never <br> had to touch ""actual cash"" (60).  [SOURCE: Father, Grandmother]",3,,,,163,,163,,127,163,,,,,,,,,,,
15650,1860-06-01,Mr. Compson speculates that Rosa got the <br> materials for Judith's trousseau by stealing from <br> her father's store.  [SOURCE: Father],3,,,,236,,236,,128,236,,,,,,,,,,,
15651,1860-08-01,"Rosa does not see Ellen again until <br> her sister is ""dying in bed in <br> a darkened room,"" the ""male mainstays"" of <br> Ellen's life having vanished (61).  [SOURCE: Father]",3,,,,267,,267,,129,267,,,,,,,,,,,
15652,1860-11-06,"Rosa continues to work on a trousseau <br> for Judith as Henry ""vanishes,"" Lincoln is <br> elected President, and the attack on Fort <br> Sumter begins the Civil War (61).  (Lincoln's election, in November 1860, would have <br> happened before Henry ""vanishes"" at Christmas.)  [SOURCE: Father]",3,,,,271,,271,,130,271,,,,,,,,,,,
15653,1860-12-24,"From ""the negroes"" at the Supten plantation, <br> Rosa and the town learn of the <br> argument between Sutpen and Henry on Christmas <br> Eve, leading to Henry's ""formally adjuring his <br> father and renouncing his birthright"" (62).  [SOURCE: Father, Sutpen Slaves, Town]",3,,,,290,,290,,131,290,,,,,,,,,,,
15654,1860-12-26,"After Henry's renunciation of his patrimony, Sutpen <br> and Judith are seen together ""in the <br> carriage in town"" (62).  Rosa continues to sew Judith's trousseau.  [SOURCE: Father]",3,,,,301,,301,,132,301,,,,,,,,,,,
15655,1861-06-01,The Civil War begins.  Sutpen and Sartoris raise a regiment and <br> depart for Virginia.  [SOURCE: Father],3,,,,338,,338,,133,338,"""bottom center""","""bottom left""",Civil War,,,,,,,,
15656,1866-07-01,"Mr. Compson's narrative looks ahead to what <br> will happen to Sutpen after the Civil <br> War, as indicated by his growing fat. <br>  [SOURCE: Father]",3,,,,449,,449,,134,449,,,,,,,,,,,
15657,1861-06-01,"Mr. Coldfield's aversion to secession and war <br> is summed up, including the way he <br> refuses to let Rosa even ""look out <br> the window at the passing soldiers"" (64). <br>  [SOURCE: Father]",3,,,,339,,339,,135,339,,,,,,,,,,,
15658,1869-08-12,"The narrative looks ahead to ""the day"" <br> when Rosa enters into ""the big family <br> bible"" the marriage of her aunt and <br> the deaths of her father, Charles Bon <br> and Thomas Sutpen (64).  [SOURCE:: Father]",3,468,,,,,468,,136,468,,,,,,,,,,,
15659,1861-06-01,Goodhue Coldfield tries to drown out the <br> sound of marching soldiers by declaiming passages <br> from the Bible.  [SOURCE: Father],3,340,,,,,340,,137,340,,,,,,,,,,,
15660,1861-09-01,"After Confederate troops loot his store, Goodhue <br> Coldfield nails himself into the attic and <br> ""throws the hammer out the window"" (65). <br>  Mr. Compson pronounces a kind of eulogy <br> on his ""uncompromising moral strength"" (65).  [SOURCE: Father, Grandfather]",3,,,,348,,348,,138,348,,,,,,,,,,,
15661,1861-09-01,"""For three years"" Rosa struggles to feed <br> her father in the attic while writing <br> her ""odes to Southern soldiers"" (65).  [SOURCE: Father]",3,,,,349,,349,,139,349,,,,,,,,,,,
15662,1885-01-01,"General Compson sees Rosa's ""portfolio"" of poetic <br> tributes to Confederate soldiers, the first of <br> which was written on the same day <br> that her father retreated to the attic <br> (65).  [SOURCE: Father, Grandfather]",3,,,,516,,516,,140,516,,,,,,,,,,,
15663,1864-01-01,"Goodhue Coldfield is found dead in the <br> attic, leaving Rosa a ""pauper"" (66).  [SOURCE: Father]",3,,,,364,,364,,141,364,,,,,,,,,,,
15664,1840-01-01,"The narrative sums up Coldfield's relationship to <br> the ""two negresses"" who worked for him <br> (66).  When he acquired them (""through a debt <br> . . . not purchase""), they were <br> enslaved; he freed them immediately, but kept <br> them on as servants as they worked <br> off the amount of their ""current market <br> value""; during the War, however, they emancipated <br> themselves as soon as the first ""Yankee <br> troops"" entered the region (66).  [SOURCE: Father]",3,,,,124,,124,,142,124,,,,,,,,,,,
15665,1828-01-01,"Mr. Compson sums up, unsentimentally, the spiritual <br> accounting practices by which Mr. Coldfield organized <br> his life.  [SOURCE: Father]",3,,,,38,,38,,143,38,,,,,,,,,,,
15666,1865-01-01,"After her father's death, Rosa's only living <br> ""kin"" are Judith and her aunt, who <br> was ""last heard of two years ago"" <br> trying to join her husband (66).  [SOURCE: Father]",3,,,,383,,383,,144,383,,,,,,,,,,,
15668,1862-01-01,"Mr. Compson describes Ellen's life at Sutpen's <br> Hundred during the Civil War, after all <br> the slaves had self-emancipated themselves and the <br> big house was defined by ""emptiness, desertion"" <br> (67).  [SOURCE: Father, Rosa]",3,,,,350,,350,,145,350,,,,,,,,,,,
15669,1860-12-25,"Mr. Compson looks back to the way <br> Henry ""vanished"" and ahead, elliptically, to the <br> way Henry would ""play his final part <br> in his family's doom"" (67).  [SOURCE: Father, Grandfather]",3,297,,,,,297,,146,297,,,,,,,,,,,
15670,1865-01-01,"Mr. Compson describes what Rosa would ""naturally"" <br> do, as a ""Southern woman, gentlewoman"" (67). <br>  [SOURCE: Father]",3,,384,,,,384,384,147,384,,,,,,,,,,,
15671,1865-01-01,"Mr. Compson describes what Rosa actually did <br> after her father's death, and sums up <br> the condition of the Sutpen family as <br> the Civil War nears its end.  [SOURCE: Father]",3,,,,385,,385,,148,385,,,,,,,,,,,
15672,1865-05-03,"Wash Jones appears in front of Rosa's <br> house, shouting her name.  [SOURCE: Father]",3,,,,410,,410,,149,410,,,,,,,,,,,
15673,1909-09-06,"While waiting for it to get darker, <br> Quentin imagines what Rosa is doing at <br> her house to get ready.  [SOURCE: Quentin]",4,,555,,,,555,555,150,555,,,,,,,,,,,
15674,1909-09-06,"Mr. Compson brings Quentin a letter, but <br> instead of handing it to him, he <br> talks about the difficulty and danger of <br> trying to understand the past.  [SOURCE: Narrator]",4,556,,,,,556,,151,556,,,,,,,,,,,
15675,1860-12-24,"Mr. Compson begins telling the next chapter <br> in the Sutpen story with the sacrifice <br> that Henry made ""because"" he loved Bon <br> (71).  [SOURCE: Father]",4,,,,277,,277,,152,277,,,,,,,,,,,
15676,1865-05-03,"The narrative looks ahead to the moment <br> in 1865 when Judith finds the photograph <br> on Bon's ""dead body"" (71).  [SOURCE: Father]",4,,,,414,,414,,153,414,,,,,,,,,,,
15677,1860-12-24,"Henry rejects what his father tells him <br> ""about the woman and the child,"" though <br> he ""must have known"" it was true <br> (72).  [SOURCE: Father]",4,,,,278,,278,,154,278,,,,,,,,,,,
15678,1860-12-25,"On Christmas morning Henry rides away from <br> his home with Bon, thinking he ""will <br> still believe"" - no matter if what <br> his father told him is true (72). <br>  [SOURCE: Father]",4,,,294,,,294,294,155,294,,,,,,,,,,,
15679,1860-12-24,"Mr. Compson ""imagines"" the scene in the <br> library when Henry repudiates both his father <br> and ""the truth"" about Bon (72).  [SOURCE: Father]",4,,,,279,,279,,156,279,,,,,,,,,,,
15680,1860-12-28,"Mr. Compson anticipates what Henry learns in <br> New Orleans, and the four-year ""probation"" he <br> imposes on Bon afterwards (72).  [SOURCE: Father]",4,,,308,,,308,308,157,308,,,,,,,,,,,
15681,1860-12-25,"Mr. Compson describes what Henry ""must have"" <br> known and felt as he rode away <br> from home with Bon (72).  [SOURCE: Father]",4,,,,292,,292,,158,292,,,,,,,,,,,
15682,1860-12-24,"Mr. Compson's focus shifts to Judith and <br> her lack of knowledge about ""what happened <br> in the library that night"" (73).  [SOURCE: Father]",4,,,,282,,282,,159,282,,,,,,,,,,,
15683,1865-05-03,"For a second time Mr. Compson anticipates <br> Judith's discovery of the photograph on Bon's <br> corpse - adding the implication that it <br> was not the photograph she had expected <br> to find, of ""her face"" (73).  [SOURCE: Father]",4,,,,415,,415,,160,415,,,,,,,,,,,
15684,1860-12-25,"On Christmas morning Judith awakens to find <br> her brother and her fiance ""gone"" (73), <br> and accepts the terms of the probation <br> Henry lays down.  [SOURCE: Father]",4,,,,293,,293,,161,293,,,,,,,,,,,
15685,1860-12-24,Mr. Compson's narrative shifts to Bon's response <br> to the rupture between Henry and Sutpen. <br>  [SOURCE: Father],4,,,,283,,283,,162,283,,,,,,,,,,,
15686,1860-06-10,"Bon ""must have learned"" that Sutpen had <br> visited New Orleans and discovered ""his secret"" <br> - although Bon himself did not consider <br> it ""a cause for secrecy"" (73).  [SOURCE: Father]",4,,,,260,,260,,163,260,,,,,,,,,,,
15687,1859-12-25,"Mr. Compson begins trying to understand Charles <br> Bon - ""the curious one to me"" <br> - by summing up his experiences with <br> the Sutpen family between two Christmases (74). <br> [SOURCE: Father]",4,,,,196,,196,,164,196,,,,,,,,,,,
15688,1909-09-06,"Mr. Compson reminds Quentin of ""the letter"" <br> he is still holding, and provides some <br> context for it as ""the only"" letter <br> Judith ""ever showed"" (75).  [SOURCE: Father]",4,557,,,,,557,,165,557,,,,,,,,,,,
15689,1865-05-03,"Judith brings Bon's letter to Quentin's grandmother, <br> ""possibly on the same day"" that she <br> discovered the photograph on Bon's body - <br> which Mr. Compson now identifies as ""the <br> picture of the octoroon mistress and the <br> little boy"" (75).  [SOURCE: Father]",4,,,,423,,423,,166,423,,,,,,,,,,,
15690,1859-09-01,Mr. Compson speculates about the complex ways <br> in which both Judith and Henry loved <br> Bon.  [SOURCE: Father],4,,,,186,,186,,167,186,,,,,,,,,,,
15691,1859-09-01,"Mr. Compson describes the way Henry and <br> ""the entire undergraduate body"" at the University <br> of Mississippi were attracted to Bon: ""the <br> man handsome elegant"" with his air of <br> ""satiations plumbed and pleasures exhausted"" (76).  [SOURCE: Father]",4,,,,184,,184,,168,184,,,,,,,,,,,
15692,1860-12-27,"Mr. Compson anticipates the ""four years of <br> probation"" in which Henry, ""hoping and waiting"" <br> in what he knew was ""in vain,"" <br> waited for Bon to renounce ""the other <br> marriage"" (77).  [SOURCE: Father]",4,,,,309,,309,,169,309,,,,,,,,,,,
15693,1859-12-25,"Mr. Compson describes Bon and Judith's ""courtship"" <br> by saying ""you can not even imagine <br> [them] alone together"" (77).  [SOURCE: Father]",4,,,,206,,206,,170,206,,,,,,,,,,,
15694,1859-09-01,"Mr. Compson returns to the theme of <br> Bon among the college students, developing it <br> by discussing the lives they led as <br> sons of planters, and comparing those lives <br> to the lives of the slaves on <br> the same plantations.  [SOURCE: Father]",4,,,,185,,185,,171,185,,,,,,,,,,,
15695,1859-12-25,Mr. Compson comments on Bon's apparent disinterest <br> in his own engagement.  [SOURCE: Father],4,,,,209,,209,,172,209,,,,,,,,,,,
15696,1865-05-03,"The narrative again anticipates Henry's killing Bon <br> ""four years later"" (79).  [SOURCE: Father]",4,,,,402,,402,,173,402,,,,,,,,,,,
15697,1859-09-01,Mr. Compson suggests that somehow Henry's attraction <br> to Bon at college was the way <br> Judith became attracted to him in Yoknapatawpha. <br>  [SOURCE: Father],4,,,,187,,187,,174,187,,,,,,,,,,,
15698,1845-01-01,"Mr. Compson returns to the theme of <br> Henry and Judith's extraordinarily close relationship, and <br> suggests it was fostered by the estranged <br> childhood they had at Sutpen's Hundred.  [SOURCE: Father]",4,,,,130,,130,,175,130,,,,,,,,,,,
15699,1909-09-06,"Mr. Compson interrupts the story of Bon, <br> Henry and Judith to ask Quentin if <br> he can ""see"" what it all means <br> (79).  He lists several of its major events, <br> concluding that ""It does not explain,"" that <br> either ""something is missing"" or ""we are <br> not supposed to know"" (80).  [SOURCE: Narrator]",4,558,,,,,558,,176,558,,,,,,,,,,,
15700,1859-12-25,Mr. Compson resumes the story with Bon's <br> first visit to Sutpen's Hundred.  [SOURCE: Father],4,,,,197,,197,,177,197,,,,,,,,,,,
15701,1860-12-28,"Mr. Compson anticipates the date when Bon <br> writes Judith the letter he is holding. <br>  When Judith gets it, she begins preparing <br> a wedding dress.  [SOURCE: Father]",4,,,,310,,310,,178,310,,,,,,,,,,,
15702,1859-12-25,Mr. Compson describes how Ellen saw Bon <br> when he visited Sutpen's Hundred the first <br> time.  [SOURCE: Father],4,,,,202,,202,,179,202,,,,,,,,,,,
15703,1860-05-15,"Mr. Compson describes Sutpen's reaction to ""seeing <br> [Bon] once"" at Christmas by anticipating the <br> trip Sutpen takes later to New Orleans <br> to ""investigate"" Bon (81).  He again wonders about the apparent meaningless <br> of events.  [SOURCE: Father]",4,,,,230,,230,,180,230,,,,,,,,,,,
15704,1860-01-03,"On their way back to school, Henry <br> and Bon try to visit Rosa, but <br> she is ""not at home"" (81). [SOURCE: <br> Father]",4,,,,214,,214,,181,214,,,,,,,,,,,
15705,1860-01-04,"Back at college, Henry decides to study <br> law, in imitation of Bon, accepting Bon <br> in ""the role of his sister's intended"" <br> (81).  [SOURCE: Father]",4,,,,215,,215,,182,215,,,,,,,,,,,
15706,1860-01-06,"After Bon's first visit to Sutpen's, Ellen <br> and Judith shop for a trousseau, making <br> a trip to Memphis for some of <br> it.  [SOURCE: Father]",4,,,,220,,220,,183,220,,,,,,,,,,,
15707,1860-05-15,"Trusting ""no man nor woman,"" Sutpen travels <br> to New Orleans to investigate Bon (82). <br>    [SOURCE: Father]",4,,,,231,,231,,184,231,,,,,,,,,,,
15708,1860-06-01,"At the end of the school year, <br> Bon returns with Henry for a two-day <br> visit at Sutpen's.  Mr. Compson says he can imagine how <br> Ellen tried to ""engineer"" the courtship between <br> Bon and Judith, but not how Judith <br> and Bon - ""a myth, a phantom"" <br> - actually courted (82).  [SOURCE: Father]",4,,,,237,,237,,185,237,,,,,,,,,,,
15709,1865-05-03,"After wondering whether Bon ever did ""exist <br> at all,"" Mr. Compson reminds himself, and <br> anticipates the narrative, by talking about Judith <br> burying Bon's body in the graveyard (82). <br>  What he says about Rosa seeing that <br> body contradicts what Rosa herself says about <br> never seeing Bon, alive or dead. [SOURCE: <br> Father]",4,,,,424,,424,,186,424,,,,,,,,,,,
15710,1860-06-01,Mr. Compson infers love from the paradoxical <br> nature of Bon and Judith's courtship.  [SOURCE: Father],4,,,,244,,244,,187,244,,,,,,,,,,,
15711,1860-06-03,Mr. Compson speculates about what might have <br> happened if Henry had gone to New <br> Orleans in the summer of 1860.  [SOURCE: Father],4,,246,,,,246,246,188,246,,,,,,,,,,,
15712,1860-06-03,"Through the summer, ""the last summer of <br> peace and content,"" Bon writes Judith from <br> New Orleans, while Sutpen, after returning from <br> New Orleans, waits to see what will <br> happen (83).  [SOURCE: Father]",4,,,,247,,247,,189,247,,,,,,,,,,,
15713,1860-09-01,Henry and Bon resume their studies at <br> college.  Sutpen continues to wait.  [SOURCE: Father],4,,,,268,,268,,190,268,,,,,,,,,,,
15714,1860-12-24,"On Christmas Eve, while Bon is visiting <br> Sutpen's Hundred and the plantation is getting <br> ready for Christmas, something happens between Henry <br> and Sutpen.  In the quarters the slaves ""spread the <br> news"" that Henry has renounced his ""home <br> and birthright"" (84).  [SOURCE: Father, Sutpen Slaves]",4,,,,289,,289,,191,289,,,,,,,,,,,
15717,1860-12-25,"His back ""irrevocably turned upon"" the home <br> he grew up in, Henry leads Bon <br> toward the Mississippi River, where they will <br> board a boat to travel to New <br> Orleans (85).  [SOURCE: Father]",4,,,,295,,295,,192,295,,,,,,,,,,,
15718,1859-09-01,"Mr. Compson reviews the ""year and a <br> half"" during which Henry had ""succombed"" to <br> Bon, and then vicariously ""seduced"" Judith for <br> Bon (85).  [SOURCE: Father]",4,,,,189,,189,,193,189,,,,,,,,,,,
15719,1909-09-06,"Mr. Compson reminds Quentin of the letter <br> he's holding, adding some details about when <br> (1865) and where (Carolina) it was written. <br>  [SOURCE: Narrator]",4,559,,,,,559,,194,559,,,,,,,,,,,
15720,1860-12-25,Mr. Compson returns to speculating on Bon's <br> state of mind as he and Henry <br> traveled toward New Orleans.  [SOURCE: Father],4,296,,,,,296,,195,296,,,,,,,,,,,
15721,1855-01-01,"Mr. Compson summarizes Henry's experiences in Yoknapatawpha <br> - i.e. his ""ignorance and inexperience"" of <br> the world Bon is planning to initiate <br> him into in New Orleans (86).  The emphasis is mainly on <em>sexual</em> mores <br> in Mississippi vs. the sensuality of interracial <br> sexual relations in the city.  [SOURCE: Father]",4,,,,164,,164,,196,164,,,,,,,,,,,
15725,1860-12-27,"Mr. Compson describes Bon taking Henry to <br> a house ""in a neighborhood a little <br> decadent"" (88), and showing him the ""doomed <br> and tragic"" young mixed-race women who have <br> been bred to be sold as sexual <br> slaves (89).  [SOURCE: Father]",4,,,,302,,302,,197,302,,,,,,,,,,,
15727,1860-12-27,"After the auction house, Bon takes Henry <br> to a building used as a dueling <br> arena; there is a blood stain still <br> visible on the carefully tended ground.  [SOURCE: Father]",4,,,,303,,303,,198,303,,,,,,,,,,,
15728,1860-12-27,"Behind the last of the doorways Bon <br> leads Henry through in New Orleans is <br> the place ""created for and by voluptuousness"" <br> where the woman Henry calls ""a whore"" <br> and Mr. Compson calls Bon's mistress lives <br> with their child (91).  [SOURCE: Father]",4,,,,304,,304,,199,304,,,,,,,,,,,
15729,1860-12-27,"In ""Bon's rooms"" in New Orleans, according <br> to Mr. Compson's account, Bon tries to <br> explain the nature of his (and other <br> white aristocrats) relationship with the mixed-race women <br> they purchase as sexual companions. When Henry <br> balks at the ""marriage"" Bon has entered <br> into, Bon tries to settle the subject <br> by reminding Henry that ""this woman, this <br> child, are niggers"" (94).   [SOURCE: Father]",4,,,,305,,305,,200,305,,,,,,,,,,,
15730,1861-02-01,Mr. Compson speculates on why Henry waited <br> through the Civil War to settle the <br> issue with Bon.  [SOURCE: Father],4,,,,329,,329,,201,329,,,,,,,,,,,
15731,1861-05-01,Henry and Bon leave New Orleans to <br> join the Confederate company organized at the <br> University of Mississippi.  Mr. Compson speculates about Henry's state of <br> mind.  (The first battle of Bull Run was <br> fought in the summer - July 21 <br> - not the spring of 1861.)  [SOURCE: Father],4,,,,334,,334,,202,334,,,,,,,,,,,
15732,1861-01-01,"Mr. Compson speculates on Judith's reaction to <br> Henry prohibiting the marriage, and on the <br> siblings' respective characters.  [SOURCE: Father]",4,,,,313,,313,,203,313,,,,,,,,,,,
15733,1855-01-01,Mr. Compson uses the scene of Henry <br> and Judith's different reactions to their father's <br> wrestling to develop the contrast in their <br> characters.    [SOURCE: Father],4,,,,155,,155,,204,155,,,,,,,,,,,
15734,1861-01-01,"Mr. Compson acknowledges that Judith did accept <br> Henry's ban on the marriage, but admits <br> it does not make sense to him. <br>  [SOURCE: Father]",4,,,,314,,314,,205,314,,,,,,,,,,,
15735,1909-09-06,"Mr. Compson interrupts the story to concede <br> that sometimes ""we"" have to attribute people's <br> actions to ""some of the old virtues"" <br> (96).  [SOURCE: Narrator]",4,561,,,,,561,,206,561,,,,,,,,,,,
15736,1861-01-01,"Judith submits to the new terms of <br> the relationship between her, her brother, her <br> fiance and her father.   [SOURCE: Father]",4,,,,315,,315,,207,315,,,,,,,,,,,
15737,1860-12-25,"Until Sutpen leaves for the Civil War, <br> he and Judith are seen together as <br> if nothing has happened - despite Ellen's <br> ""taking to her bed"" and Henry and <br> Bon's enlisting in secret (96).  [SOURCE: Father]",4,,,,300,,300,,208,300,,,,,,,,,,,
15738,1861-05-01,"Mr. Compson details the formation of the <br> University Grays, mainly as a social rather <br> than a military event.  [SOURCE: Father]",4,,,,336,,336,,209,336,,,,,,,,,,,
15739,1861-06-01,Henry and Bon come out of hiding <br> to join the University Grays as the <br> unit leaves for the war.   [SOURCE: Father],4,,,,342,,342,,210,342,,,,,,,,,,,
15740,1861-07-01,"Bon is promoted to Lieutenant, so now <br> the relationship between him and Henry is <br> that of ""officer and man"" (98).  [SOURCE: Father]",4,,,,344,,344,,211,344,,,,,,,,,,,
15741,1862-04-06,Henry saves the wounded Bon at the <br> Battle of Shiloh.  [SOURCE: Father],4,,,,355,,355,,212,355,,,,,,,,,,,
15742,1861-07-01,"After Sutpen leaves for the war, Judith <br> ""lives alone"" at the plantation (99).  [SOURCE: Father]",4,,,,345,,345,,213,345,,,,,,,,,,,
15743,1862-01-01,"The twenty enslaved people Sutpen brought with <br> him to Yoknapatawpha self-emancipate by ""following the <br> first Yankee troops to pass through Jefferson"" <br> (99).   [SOURCE: Father]",4,,,,351,,351,,214,351,,,,,,,,,,,
15744,1861-01-01,Mr. Compson describes Judith's life at Sutpen's <br> Hundred during the years of the Civil <br> War.  [SOURCE: Father],4,,,,320,,320,,215,320,,,,,,,,,,,
15745,1861-01-01,Mr. Compson describes Wash Jones' role in <br> the Sutpen household during the Civil War. <br>  [SOURCE: Father],4,,,,321,,321,,216,321,,,,,,,,,,,
15746,1852-01-01,"While Sutpen was there, Wash Jones was <br> not allowed inside the big house, but <br> he and Sutpen were together in the <br> ""scuppernong arbor behind the kitchen,"" where Jones <br> provided Sutpen with whiskey (99).   [SOURCE: Father]",4,,,,150,,150,,217,150,,,,,,,,,,,
15747,1861-01-01,Mr. Compson describes the changes in Judith's <br> appearance and in the plantation during the <br> Civil War.  [SOURCE: Father],4,,,,322,,322,,218,322,,,,,,,,,,,
15748,1862-01-01,"As the Civil War goes on, Judith <br> joins other ladies treating wounded soldiers in <br> the town's ""improvised hospital"" (99).  [SOURCE: Father]",4,352,,,,,352,,219,352,,,,,,,,,,,
15749,1863-01-23,Ellen dies and is buried at Sutpen's <br> Hundred.  [SOURCE: Father],4,,,,362,,362,,220,362,"""middle right""","""top left""",Ellen dies,,,,,,,,
15751,1862-06-01,The men in the Confederate regiment from <br> Yoknapatawpha elect Sutpen to command the unit <br> in place of Sartoris.  [SOURCE: Father],4,,,,359,,359,,221,359,,,,,,,,,,,
15752,1863-08-01,Sutpen brings to his plantation the marble <br> tombstones he imported for his wife's and <br> his own graves.  [SOURCE: Father],4,,,,363,,363,,222,363,,,,,,,,,,,
15753,1864-01-01,"After Goodhue Coldfield's death, Judith invites Rosa <br> to live at Sutpen's Hundred.  [SOURCE: Father]",4,,,,365,,365,,223,365,,,,,,,,,,,
15754,1909-09-06,Mr. Compson again refers to the letter <br> which he holds.  [SOURCE: Narrator],4,562,,,,,562,,224,562,,,,,,,,,,,
15755,1865-05-10,"Mr. Compson recounts the scene of Judith <br> bringing Bon's letter to his own mother, <br> for her to ""keep"" or ""throw away"" <br> (101).  [SOURCE: Father, Grandmother]",4,,,,430,,430,,225,430,,,,,,,,,,,
15756,1909-09-06,Quentin takes the letter from his father. <br>  [SOURCE: Narrator],4,563,,,,,563,,226,563,,,,,,,,,,,
15757,1860-01-10,"Mr. Compson speculates about the ""other letters"" <br> that Bon sent Judith during the year <br> before their engagement was ended.  [SOURCE: Father]",4,,,,225,,225,,227,225,,,,,,,,,,,
15758,1865-03-15,"According to Mr. Compson, Judith kept and <br> then gave away her last letter from <br> Bon to make ""an undying mark on <br> the blank face of oblivion"" (102).  [SOURCE: Father]",4,,,,394,,394,,228,394,,,,,,,,,,,
15759,1909-09-06,"The long deferred moment of reading the <br> letter arrives; to Quentin it is a <br> ""dead tongue speaking"" (102).  [SOURCE: Narrator]",4,565,,,,,565,,229,565,,,,,,,,,,,
15760,1865-03-02,"Bon's letter from the Civil War tells, <br> wryly, about the desperate condition of the <br> Confederate troops amidst the absurdities of war, <br> and then announces that, since he and <br> Judith are ""among those who are doomed <br> to live,"" it is time for them <br> to marry (105).  [SOURCE: Letter]",4,391,,,,,391,,230,391,,,,,,,,,,,
15762,1865-03-15,"When Judith gets Bon's letter, she and <br> Clytemnestra begin making her wedding dress ""from <br> scraps"" (105).  [SOURCE: Father]",4,,,,393,,393,,231,393,,,,,,,,,,,
15763,1865-03-02,Mr. Compson speculates on what happened between <br> Bon and Henry after the letter was <br> written.   [SOURCE: Father],4,,,,392,,392,,232,392,,,,,,,,,,,
15764,1865-05-03,Bon and Henry ride up to the <br> gate at Sutpen's Hundred.  [SOURCE: Father],4,,,,403,,403,,233,403,,,,,,,,,,,
15765,1865-05-03,Quentin envisions the final scene between Henry <br> and Bon at the gate to Sutpen's. <br>  [SOURCE: Narrator],4,404,,,,,404,,234,404,,,,,,,,,,,
15766,1865-05-03,"It seems that Quentin's vision continues, to <br> include the scene of Wash telling Rosa <br> about the death of ""that durn French <br> feller"" - i.e. Bon (106).  [SOURCE: Narrator]",4,409,,,,,409,,235,409,,,,,,,,,,,
15767,1865-05-03,Rosa locks up her house to go <br> with Jones the Sutpen's Hundred.  [SOURCE: Rosa],5,,,,411,,411,,236,411,,,,,,,,,,,
15768,1865-05-03,"In describing the ride out to Sutpen's, <br> Rosa focuses on her contempt for Wash <br> and his family.  [SOURCE: Rosa]",5,,,,412,,412,,237,412,,,,,,,,,,,
15769,1865-05-03,"On the trip out to Sutpen's, Rosa <br> learns how Judith and Clytemnestra heard the <br> shot while sewing a wedding dress, and <br> how Henry ""burst open"" the bedroom door <br> to confront his sister (108).  [SOURCE: Rosa]",5,,,,405,,405,,238,405,,,,,,,,,,,
15770,1865-05-03,Rosa and Wash reach Sutpen's Hundred (108). <br> [SOURCE: Rosa],5,,,,413,,413,,239,413,,,,,,,,,,,
15771,1865-05-03,"Rosa relates the scene inside the door <br> at Sutpen's between her and Clytemnestra, which <br> is charged with familial and racial tensions; <br> Rosa seems both to recognize and deny <br> her relationship - as ""sister"" and human <br> - with Clytemnestra (109).  [SOURCE: Rosa]",5,,,,416,,416,,240,416,,,,,,,,,,,
15772,1850-01-01,"Rosa recalls her childhood attitude toward Clytemnestra, <br> describing her own alienation from the place <br> Clytemnestra occupied in the Sutpen household.  [SOURCE: Rosa]",5,,,,146,,146,,241,146,,,,,,,,,,,
15773,1865-05-03,Rosa resumes her description of her confrontation <br> with Clytemnestra.  [SOURCE: Rosa],5,,,,417,,417,,242,417,,,,,,,,,,,
15774,1865-05-03,"In her despair, Rosa fantasizes a different <br> moment, when it is Henry, not Clytemnestra, <br> who meets her in the hallway, and <br> the intact Sutpen family includes Bon and <br> is happy.  [SOURCE: Rosa]",5,,418,,,,418,418,243,418,,,,,,,,,,,
